id,name,host_id,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm,neighbourhood_cleansed,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_value,property_type,host_acceptance_rate,maximum_nights,listing_url,region,distance_to_cristo_redentor,distance_to_pan_de_azucar,distance_to_copacabana_beach,distance_to_ipanema_beach,distance_to_botanical_garden
13541297,Rio Olympic Park Barra da Tijuca Rock In Rio,77900057,-22.97394,-43.39735,0,4,13,2022-09-11,353,0,5,1,100.0,0,1,6,4.85,4.92,4.92,5.0,4.92,4.85,4.15,9,66,1125,https://www.airbnb.com/rooms/13541297,19,19.28673460845181,24.94194386593828,22.02855288624964,19.773399955332344,17.23018638532202
1176940267865227558,Studio 200m from the beach | NSC 1085/306,6000862,-22.98029263245947,-43.190376094502895,0,1,1,2024-06-20,348,1,29,3,100.0,0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,98,90,https://www.airbnb.com/rooms/1176940267865227558,56,3.769920177195837,5.031461816525231,1.321152881925391,1.5004627698225903,4.22525260616672
38208679,Delightful Metro Botafogo.,18875911,-22.94862,-43.18626,0,3,34,2023-11-06,126,1,11,3,92.30391864868317,1,1,2,5.0,4.97,5.0,4.97,5.0,5.0,4.94,16,99,7,https://www.airbnb.com/rooms/38208679,46,2.5086672278426168,3.1701357976235003,2.533993572636148,4.344760074473828,4.867249271838881
948686771989475358,Ipanema Sunset 815,529309485,-22.98379,-43.1941,0,5,3,2024-01-03,235,3,29,3,100.0,0,1,2,4.33,4.0,4.67,4.33,4.67,4.67,4.33,16,84,365,https://www.airbnb.com/rooms/948686771989475358,26,3.9234350870293393,5.575940475827546,1.864189708089228,1.0646960102650715,4.029080550050995
1141837039702617826,Ap em Copacabana ótima localização,573980745,-22.97198,-43.18786,0,1,1,2024-05-05,87,1,29,3,100.0,0,1,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,32,2,https://www.airbnb.com/rooms/1141837039702617826,0,3.218452027761204,4.227536550310865,0.5876588115440786,2.15838707722277,4.262860797959016
1092623839446486729,Apartamento Recreio,560146879,-23.026611183682213,-43.47196966409683,0,1,4,2024-05-31,258,4,104,3,100.0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,92,365,https://www.airbnb.com/rooms/1092623839446486729,44,28.024643906004464,33.5564561824025,30.295283060657827,27.784857189669893,25.7068255654296
13548383,(somente para mulheres) Aconchego de Copa,64889398,-22.97244,-43.1912,2,3,6,2023-01-02,94,0,29,3,95.0,1,1,2,5.0,5.0,5.0,4.83,5.0,5.0,5.0,41,96,7,https://www.airbnb.com/rooms/13548383,120,3.0201085108787256,4.531837850352999,0.933363071935876,1.8648450597995776,3.930537788366849
42554595,Loft com vista em Copacabana,155622896,-22.97101,-43.18499,0,2,15,2023-11-21,261,1,29,3,92.30391864868317,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,4.87,14,99,30,https://www.airbnb.com/rooms/42554595,93,3.3670540269121543,3.930663628014635,0.2858086254812534,2.458360255117396,4.543938734276368
1079770055940466252,Amplo Apartamento,387763889,-22.8968773,-43.5504432,0,2,4,2024-06-17,171,4,17,3,100.0,0,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,99,30,https://www.airbnb.com/rooms/1079770055940466252,84,35.34806413720045,40.87486685855843,38.60273219928472,36.72265569217924,33.8192522533783
1020238965302185766,Work and leisure on Botafogo Beach,226323842,-22.94525870433612,-43.18295647185965,0,5,12,2024-05-27,69,12,11,2,90.0,0,1,2,3.92,4.42,5.0,3.92,4.67,4.5,3.83,16,76,365,https://www.airbnb.com/rooms/1020238965302185766,116,2.915387921511805,2.8561750026653794,2.874468718798082,4.829786917108827,5.336659045955335
12035223,"Calm, Fresh and Cool, Big bedroom near Lagoon! Rio",10994189,-22.95633,-43.20273,2,1,13,2017-09-23,362,0,57,3,92.30391864868317,0,1,1,4.54,4.77,4.85,4.58,4.92,4.77,4.77,41,49,7,https://www.airbnb.com/rooms/12035223,59,0.9357274265245388,4.931912806284628,2.667472148592142,3.070999407411509,2.9765629402217124
1086984302754184340,H0ME IN RI0 - Lapa que Samba,514428359,-22.912996691730665,-43.18603210151196,0,1,38,2024-06-23,355,38,22,3,100.0,1,1,3,5.0,4.95,4.92,4.95,4.95,4.95,4.89,16,98,90,https://www.airbnb.com/rooms/1086984302754184340,126,4.999145858660331,5.05746411837643,6.472707882127669,8.107709665379424,7.492344051641743
1060005440599703407,Quarto em casa Leme/copacabana,5954325,-22.9621,-43.17413,2,3,1,2024-05-05,175,1,29,3,100.0,0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,37,99,30,https://www.airbnb.com/rooms/1060005440599703407,32,3.89275083084968,2.443472905900127,1.297744868709123,3.942450615567735,5.668911079624356
53459199,Apartamento encantador em Ipanema,432886906,-22.9829,-43.20546,0,3,1,2022-09-09,103,0,60,3,92.30391864868317,0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,32,10,https://www.airbnb.com/rooms/53459199,20,3.4854540331233874,6.396832993530126,2.718770140002983,0.1483981856848531,2.979468015363143
50774214,Cobertura 2 quartos Parque Olimpico,14246086,-22.97246,-43.3917,0,2,1,2022-09-04,354,0,63,3,100.0,0,1,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9,96,730,https://www.airbnb.com/rooms/50774214,19,18.692360490792417,24.348910479404623,21.448513022822763,19.206238047751174,16.646001165939023
